order_id,date,customer_id,region,product_category,product_name,units_sold,unit_price,discount,status,payment_method
1001,2024-01-15,C001,North,Electronics,4K TV,2,799.99,0.10,Completed,Credit Card
1002,2024-01-15,C002,North,Electronics,4K TV,1,799.99,0.00,Returned,Credit Card
1003,2024-02-01,C003,South,Home,Air Purifier,1,299.99,0.15,Completed,Debit
1004,2024-02-29,C004,East,Furniture,Standing Desk,3,499.50,0.20,Completed,Wire Transfer
1005,2024-03-12,C005,West,Furniture,Office Chair,5,149.50,0.25,Completed,Wire Transfer
1006,2024-03-31,C006,North,Electronics,Noise Cancelling Headphones,4,249.99,0.05,Completed,Credit Card
1007,2024-04-15,C007,South,Accessories,USB Cable,20,9.99,1.00,Completed,Cash
1008,2024-04-15,C007,South,Accessories,USB Cable,5,9.99,0.00,Returned,Cash
1009,2024-05-05,C008,International,Electronics,Smartphone,10,699.00,0.30,Completed,Crypto
1010,2024-05-05,C008,international,Electronics,Smartphone,2,699.00,0.30,Completed,Crypto
1011,2024-06-18,C009,East,Grocery,Organic Tea,12,18.75,0.10,Completed,Gift Card
1012,2024-06-30,C010,West,Grocery,Organic Tea,0,18.75,0.00,Pending,Credit Card
1013,2024-07-04,C011,North,Outdoor,Camping Tent,1,0.00,0.00,Completed,Gift Card
1014,2024-07-04,C012,North,Outdoor,Camping Tent,1,349.00,0.00,Cancelled,Credit Card
1015,2024-08-20,C013,South,Electronics,Laptop,3,1199.99,0.40,Completed,Debit
1016,2024-08-20,C013,South,Electronics,Laptop,1,1199.99,0.40,Returned,Debit
1017,2024-09-09,C014,West,Home,Espresso Machine,2,649.99,0.05,Completed,Debit
1018,2024-09-15,C015,North,Accessories,Wireless Mouse,25,39.99,0.00,Completed,Credit Card
1019,2024-10-01,C016,East,Electronics,Tablet,7,499.00,0.08,Completed,Credit Card
1020,2024-10-15,C017,South,Electronics,Tablet,1,499.00,0.08,Pending,Credit Card
1021,2024-11-11,C018,Online,Home,Smart Thermostat,6,229.00,0.12,Completed,PayPal
1022,2024-11-29,C019,Online,Electronics,Drone,4,1299.99,0.55,Completed,Crypto
1023,2024-12-12,C020,North,Home,Air Purifier,1,299.99,-0.05,Completed,Debit
1024,2024-12-31,C021,West,Home,Air Purifier,2,299.99,0.15,Completed,Debit
1025,2025-01-05,C001,Online,Home,Air Purifier,1,299.99,0.00,Completed,Gift Card
1026,2025-02-14,C022,North,Electronics,Smartwatch,15,249.99,0.18,Completed,Credit Card
1027,2025-03-01,C023,South,Outdoor,Mountain Bike,2,1999.00,0.50,Completed,Wire Transfer
1028,2025-03-01,C023,South,Outdoor,Mountain Bike,2,1999.00,0.50,Completed,Wire Transfer
1029,2025-04-22,C024,International,Furniture,Standing Desk,1,499.50,0.00,Completed,Crypto
1030,2025-05-10,C025,North,Electronics,Laptop,3,0.00,0.00,Completed,Gift Card
1031,2025-06-18,C026,Online,Grocery,Coffee Beans,40,14.99,0.05,Completed,Credit Card
1032,2025-07-10,C027,Online,Home,Air Purifier,1,299.99,0.00,Completed,Debit
1033,2025-08-01,C028,South,Electronics,Gaming Console,8,549.00,0.22,Completed,Credit Card
1034,2025-09-14,C029,West,Home,Espresso Machine,1,649.99,0.00,Returned,Debit
1035,2025-10-31,C030,North,Electronics,Drone,50,1299.99,0.55,Completed,Crypto
1035,2025-10-31,C030,North,Electronics,Drone,50,1299.99,0.55,Completed,Crypto
1036,2025-11-15,C031,West,Grocery,Coffee Beans,15,14.99,0.00,Completed,Credit Card
1037,2025-12-24,C032,Online,Electronics,Smartphone,5,699.00,0.90,Completed,PayPal
1038,2026-01-01,C033,North,Home,Smart Thermostat,1,229.00,0.12,Pending,PayPal
1039,2026-02-29,C034,East,Electronics,Tablet,3,499.00,0.08,Completed,Credit Card
1040,2026-03-15,C035,International,Home,Air Purifier,2,299.99,0.15,Completed,Crypto
1041,2026-04-01,C036,North,Electronics,Smartwatch,-1,249.99,0.18,Completed,Credit Card
1042,2026-05-05,C037,Online,Accessories,Wireless Mouse,0,39.99,0.00,Cancelled,Credit Card
1043,2026-06-30,C038,South,Grocery,Organic Tea,1000,18.75,0.10,Completed,Wire Transfer

